Name,RA,Dec
lune,0,0
venus,0,0
jupiter,0,0
saturne,0,0
mars,0,0
mercure,0,0
uranus,0,0
neptune,0,0
Aldebaran,4.5986,16.5092
Algiedi,20.3008,-12.5447
Algol,3.1361,40.9556
Alioth,12.9006,55.9597
Alkaid,13.7922,49.3133
Almach,2.0650,42.3297
Alnilam,5.6036,-1.2019
Alnitak,5.6794,-1.9428
Alphard,9.4597,-8.6586
Alphecca,15.5781,26.7147
Altair,19.8464,8.8683
Arcturus,14.2611,19.1822
Bellatrix,5.4189,6.3497
Betelgeuse,5.9194,7.4072
Capella,5.2781,45.9981
Castor,7.5767,31.8883
Deneb,20.6906,45.2808
Denebola,11.8178,14.5719
Diphda,0.7264,-17.9867
Dubhe,11.0622,61.7511
El Nath,5.4383,28.6075
Enif,21.7364,9.8750
Fomalhaut,22.9608,-29.6222
Hamal,2.1194,23.4625
Kochab,14.8450,74.1556
Markab,23.0794,15.2053
Menkalinan,5.9922,44.9475
Mirach,1.1622,35.6206
Mirfak,3.4053,49.8611
Mizar,13.3989,54.9253
Polaris,2.5303,89.2642
Pollux,7.7553,28.0261
Procyon,7.6550,5.2250
Regulus,10.1394,11.9672
Rigel,5.2422,-8.2017
Saiph,5.7958,-9.6697
Scheat,23.0628,28.0828
Schedar,0.6750,56.5372
Sirius,6.7525,-16.7161
Vega,18.6156,38.7836
